,CLUES,NOMBRE DE LA ENTIDAD,CLAVE DE LA INSTITUCION,ESTATUS DE OPERACION,LONGITUD,LATITUD
6829,DFSMP000773,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1094629,19.4713641
6830,DFSMP000785,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.159266,19.427571
6831,DFSMP000790,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.13786,19.4426869
6832,DFSMP000802,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1598501,19.5180275
6833,DFSMP000814,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1318636,19.4924731
6834,DFSMP000826,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.17276122,19.39998675
6835,DFSMP000831,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.23422648,19.3005221
6836,DFSMP000843,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.17276122,19.39998675
6838,DFSMP000860,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.18712294,19.37141499
6839,DFSMP000872,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.19404316,19.44673806
6840,DFSMP000884,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.07536863,19.49472682
6841,DFSMP000896,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.10253941,19.25618638
6842,DFSMP000901,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.18909027,19.45463759
6843,DFSMP000913,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.09653223,19.47292757
6844,DFSMP000925,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0868504,19.4419809
6845,DFSMP000930,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1070521,19.264931
6846,DFSMP000942,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1071784,19.2648791
6847,DFSMP000954,CIUDAD DE MEXICO,SMP,EN OPERACION,-98.99129613,19.35082273
6848,DFSMP000966,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.09820093,19.50810854
6849,DFSMP000971,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.13776486,19.49160515
6850,DFSMP000983,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.12640838,19.48797206
6851,DFSMP000995,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0515099,19.1991711
6852,DFSMP001000,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1569354,19.4218002
6853,DFSMP001012,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1654973,19.4053846
6854,DFSMP001024,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0955477,19.4988352
6855,DFSMP001036,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1586614,19.4170158
6856,DFSMP001041,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.160167,19.3752586
6858,DFSMP001065,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.018572,19.1906964
6860,DFSMP001082,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0911108,19.496127
6861,DFSMP001094,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1293471,19.4987343
6862,DFSMP001106,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.19134088,19.40220042
6864,DFSMP001123,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.17165078,19.41863499
6870,DFSMP001181,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0537468,19.3889247
6871,DFSMP001193,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0450427,19.2967027
6872,DFSMP001205,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1062158,19.2641076
6873,DFSMP001210,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1019255,19.2645591
6874,DFSMP001222,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0083689,19.279477
6875,DFSMP001234,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.03605995,19.34268536
6876,DFSMP001246,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.11161248,19.4853829
6877,DFSMP001251,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1847449,19.4109451
6878,DFSMP001263,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0209195,19.1973942
6879,DFSMP001275,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.09537348,19.48594661
6880,DFSMP001280,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0199813,19.3722198
6881,DFSMP001292,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0950319,19.4939169
6882,DFSMP001304,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0901332,19.5023217
6883,DFSMP001316,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.02203131,19.19344008
6884,DFSMP001321,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0889397,19.19219496
6886,DFSMP001345,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0050394,19.25664532
6887,DFSMP001350,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.08041164,19.31235459
6888,DFSMP001362,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.11424634,19.2401782
6889,DFSMP001374,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0536395,19.2537591
6890,DFSMP001386,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1523012,19.3852798
6891,DFSMP001391,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1617089,19.30203466
6892,DFSMP001403,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.10404253,19.45679339
6894,DFSMP001420,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.2390529,19.39498456
6895,DFSMP001432,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.09188332,19.36506182
6896,DFSMP001444,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.01261101,19.25505734
6897,DFSMP001456,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.070531,19.4811931
6898,DFSMP001461,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0697285,19.4742844
6899,DFSMP001473,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1358595,19.4582969
6900,DFSMP001485,CIUDAD DE MEXICO,SMP,EN OPERACION,-98.998474,19.340257
6901,DFSMP001490,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.02969768,19.3411795
6902,DFSMP001502,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.03378898,19.34764061
6903,DFSMP001514,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0125522,19.3784748
6904,DFSMP001526,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.00402589,19.35062589
6905,DFSMP001531,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.255646,19.328563
6906,DFSMP001543,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.04269932,19.32872852
6907,DFSMP001555,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.108332,19.345722
6908,DFSMP001560,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.10040705,19.32445491
6909,DFSMP001572,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1298058,19.3732929
6910,DFSMP001584,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.032925,19.3351186
6911,DFSMP001596,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.10658442,19.38954139
6912,DFSMP001601,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.17884155,19.46284059
6913,DFSMP001613,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0715269,19.3141504
6915,DFSMP001630,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.01680705,19.33074709
6916,DFSMP001642,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0598235,19.3526967
6917,DFSMP001654,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0406842,19.3278809
6918,DFSMP001666,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0762508,19.3924262
6919,DFSMP001671,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1911,19.4067
6920,DFSMP001683,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.07160241,19.33885281
6921,DFSMP001695,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1819173,19.4067
6922,DFSMP001700,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0684237,19.4937858
6923,DFSMP001712,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.06694791,19.34095705
6924,DFSMP001724,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.093056,19.358333
6925,DFSMP001736,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.037995,19.322889
6926,DFSMP001741,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.09547817,19.36203318
6927,DFSMP001753,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.04948572,19.32518984
6928,DFSMP001765,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.20899092,19.45901426
6929,DFSMP001770,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.13210375,19.44923954
6930,DFSMP001782,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.16066445,19.41834788
6931,DFSMP001794,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1173507,19.46029069
6932,DFSMP001806,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1240425,19.475243
6933,DFSMP001811,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.12949786,19.48667032
6934,DFSMP001823,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.18732066,19.40069248
6935,DFSMP001835,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.08543728,19.49864922
6936,DFSMP001840,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.2000728,19.3404776
6937,DFSMP001852,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.01116479,19.34552292
6938,DFSMP001864,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.21633547,19.43120341
6939,DFSMP001876,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.09247039,19.45151515
6941,DFSMP001893,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.13181905,19.35879733
6942,DFSMP001905,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.02382462,19.35263724
6944,DFSMP001922,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0902289,19.3610145
6946,DFSMP001946,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0727781,19.3468845
6947,DFSMP001951,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1018517,19.3254471
6948,DFSMP001963,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.06934,19.3444234
6949,DFSMP001975,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0427228,19.3375571
6950,DFSMP001980,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.03699255,19.36505333
6951,DFSMP001992,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1097337,19.3682617
6952,DFSMP002004,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.06497739,19.32582787
6954,DFSMP002021,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.07817868,19.34632968
6955,DFSMP002033,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0302322,19.3416194
6956,DFSMP002045,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0435809,19.342007
6957,DFSMP002050,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0648361,19.3598051
6958,DFSMP002062,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0452303,19.394434
6959,DFSMP002074,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0972295,19.329615
6960,DFSMP002086,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0735687,19.3188841
6961,DFSMP002091,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1197802,19.4879425
6962,DFSMP002103,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.14295,19.29886
6963,DFSMP002115,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1366918,19.2970602
6964,DFSMP002120,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.18239512,19.29445401
6966,DFSMP002144,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0219532,19.3421119
6968,DFSMP002161,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0708,19.3271
6969,DFSMP002173,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.079,19.3071
6972,DFSMP002202,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.17237213,19.38987213
6975,DFSMP002231,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.16962195,19.364234
6976,DFSMP002243,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.13957689,19.38183941
6977,DFSMP002255,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1778662,19.3816736
6978,DFSMP002260,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.09723675,19.4152245
6979,DFSMP002272,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1237597,19.45163497
6980,DFSMP002284,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0669298,19.4260984
6981,DFSMP002296,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.12378116,19.45313003
6983,DFSMP002313,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.078299,19.41153694
6984,DFSMP002325,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0955972,19.4295472
6985,DFSMP002330,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0667,19.4242
6986,DFSMP002342,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.09749149,19.42868696
6987,DFSMP002354,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.09189291,19.32158752
6988,DFSMP002366,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.12499887,19.49538867
6989,DFSMP002371,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.11721933,19.47738413
6990,DFSMP002383,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.10668911,19.26360506
6991,DFSMP002395,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.05252809,19.41923627
6992,DFSMP002400,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.16567056,19.52036656
6993,DFSMP002412,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1518089,19.52811918
6994,DFSMP002424,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1140045,19.4847586
6995,DFSMP002436,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.06777037,19.47689541
6996,DFSMP002441,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.07810716,19.49331617
6997,DFSMP002453,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.11412521,19.47986349
6998,DFSMP002465,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.12219866,19.47040088
6999,DFSMP002470,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.11721933,19.47738413
7000,DFSMP002482,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.12990267,19.51492551
7001,DFSMP002494,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.13615017,19.55469919
7002,DFSMP002506,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1565033,19.5163168
7003,DFSMP002511,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.13158156,19.55501005
7004,DFSMP002523,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.2607638,19.3116799
7005,DFSMP002535,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.23343944,19.30735335
7006,DFSMP002540,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.18451753,19.39530507
7007,DFSMP002552,CIUDAD DE MEXICO,SMP,EN OPERACION,-98.9783,19.3318
7008,DFSMP002564,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0478,19.3252
7009,DFSMP002576,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0364,19.3788
7010,DFSMP002581,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.10191328,19.45632828
7011,DFSMP002593,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.16640621,19.38333848
7012,DFSMP002605,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.24606709,19.32139235
7013,DFSMP002610,CIUDAD DE MEXICO,SMP,EN OPERACION,-98.99609192,19.35274997
7014,DFSMP002622,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.137553,19.4163259
7018,DFSMP002663,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.05939682,19.25343617
7019,DFSMP002675,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.102711,19.25827046
7020,DFSMP002680,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1055219,19.2647156
7024,DFSMP002721,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0565,19.332
7025,DFSMP002733,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.147865,19.4857238
7026,DFSMP002745,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0931,19.3583
7027,DFSMP002750,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0931,19.3583
7028,DFSMP002762,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.090262,19.44237583
7030,DFSMP002786,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.06290553,19.34589297
7031,DFSMP002791,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0570378,19.3338677
7032,DFSMP002803,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0072101,19.3352443
7033,DFSMP002815,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0166739,19.3475542
7034,DFSMP002820,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.01559323,19.37939256
7037,DFSMP002856,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.03719945,19.34762135
7038,DFSMP002861,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.019116,19.34792557
7040,DFSMP002885,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.29908814,19.3567103
7041,DFSMP002890,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.30038092,19.35672316
7042,DFSMP002902,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.28828351,19.36722069
7043,DFSMP002914,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.30092272,19.35485304
7044,DFSMP002926,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.2882645,19.3670899
7045,DFSMP002931,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.2847,19.3744
7046,DFSMP002943,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0589468,19.3938878
7047,DFSMP002955,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0742317,19.3083333
7048,DFSMP002960,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0931,19.3583
7050,DFSMP002984,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0903114,19.4158727
7051,DFSMP002996,CIUDAD DE MEXICO,SMP,EN OPERACION,-98.99970529,19.34585868
7052,DFSMP003001,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0736113,19.3020175
7053,DFSMP003013,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0931,19.3583
7054,DFSMP003025,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0288431,19.3504815
7055,DFSMP003030,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.05775768,19.3441299
7059,DFSMP003071,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1430711,19.4497441
7060,DFSMP003083,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.15504895,19.43852321
7061,DFSMP003095,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.16719405,19.43837735
7062,DFSMP003100,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1018517,19.3254471
7063,DFSMP003112,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0579678,19.40427062
7064,DFSMP003124,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0561207,19.39765726
7066,DFSMP003141,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0619909,19.3498707
7067,DFSMP003153,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.16913598,19.42197628
7068,DFSMP003165,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0230161,19.3793526
7070,DFSMP003182,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1159115,19.3797634
7071,DFSMP003194,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.16118011,19.41390957
7072,DFSMP003206,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.12147323,19.48292678
7074,DFSMP003223,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.15709175,19.41540968
7075,DFSMP003235,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1721048,19.42131464
7076,DFSMP003240,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0470976,19.3249604
7077,DFSMP003252,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.03264478,19.35452575
7078,DFSMP003264,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1225895,19.3686487
7079,DFSMP003276,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0182788,19.3767759
7081,DFSMP003293,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0359988,19.3767145
7083,DFSMP003310,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0429304,19.3936758
7086,DFSMP003346,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.12133399,19.36157536
7088,DFSMP003363,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0931,19.3583
7090,DFSMP003380,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0380171,19.32721751
7092,DFSMP003404,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0360227,19.2574492
7094,DFSMP003421,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.242668,19.2975638
7096,DFSMP003445,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1833,19.4828
7097,DFSMP003450,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0231,19.1922
7098,DFSMP003462,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.13021578,19.29447899
7100,DFSMP003486,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.14723206,19.31598991
7101,DFSMP003491,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1643504,19.3298151
7102,DFSMP003503,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.15846615,19.32221207
7103,DFSMP003515,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1529448,19.3081609
7104,DFSMP003520,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.15012571,19.43969424
7105,DFSMP003532,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0405904,19.310223
7106,DFSMP003544,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.05486917,19.29147404
7107,DFSMP003556,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0542,19.3042
7108,DFSMP003561,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0542,19.3042
7109,DFSMP003573,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0085598,19.2884724
7110,DFSMP003585,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0542,19.3042
7111,DFSMP003590,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.15198,19.4749688
7112,DFSMP003602,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0542,19.3042
7113,DFSMP003614,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.00536672,19.27112054
7114,DFSMP003626,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1125,19.4822
7115,DFSMP003631,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1832909,19.45636442
7116,DFSMP003643,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.17910219,19.44303634
7117,DFSMP003655,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.2,19.4
7118,DFSMP003660,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0936973,19.3602298
7119,DFSMP003672,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0542,19.3042
7120,DFSMP003684,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.040223,19.2935329
7121,DFSMP003696,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0542,19.3042
7122,DFSMP003701,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0419789,19.2903696
7123,DFSMP003713,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0089727,19.2872563
7124,DFSMP003725,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.009073,19.2677785
7125,DFSMP003730,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.225,19.3083
7126,DFSMP003742,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0740306,19.1855092
7127,DFSMP003754,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.04932079,19.2057796
7128,DFSMP003766,CIUDAD DE MEXICO,SMP,EN OPERACION,-98.9958402,19.2197698
7130,DFSMP003783,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1117786,19.4451524
7132,DFSMP003800,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.2342149,19.3337934
7133,DFSMP003812,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.11095215,19.31546984
7134,DFSMP003824,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.06132089,19.29910144
7135,DFSMP003836,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0542,19.3042
7136,DFSMP003841,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.04706558,19.29988179
7137,DFSMP003853,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0036264,19.2774346
7141,DFSMP003894,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0377426,19.29296628
7142,DFSMP003906,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0542,19.3042
7143,DFSMP003911,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0167898,19.2916994
7144,DFSMP003923,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.16220695,19.31158792
7145,DFSMP003935,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1665438,19.3314722
7146,DFSMP003940,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0114,19.3469
7147,DFSMP003952,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.07838477,19.41441324
7148,DFSMP003964,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.059,19.3295
7149,DFSMP003976,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0119,19.3459
7150,DFSMP003981,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.07408198,19.39158536
7151,DFSMP003993,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.14573074,19.33933693
7152,DFSMP004005,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1673,19.3259
7153,DFSMP004010,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1674657,19.3214902
7154,DFSMP004022,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.00451713,19.26813497
7156,DFSMP004046,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0234,19.3441
7158,DFSMP004063,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.1638,19.3309
7159,DFSMP004075,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0777,19.4951
7161,DFSMP004092,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0931,19.3583
7162,DFSMP004104,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.02092424,19.19252173
7163,DFSMP004116,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.0067709,19.2694736
7164,DFSMP004121,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.2317387,19.29377054
7165,DFSMP004133,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.2283278,19.2894909
7166,DFSMP004145,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.225,19.3083
7167,DFSMP004150,CIUDAD DE MEXICO,SMP,EN OPERACION,-99.124423,19.291281
