,CLUES,NOMBRE DE LA ENTIDAD,CLAVE DE LA INSTITUCION,ESTATUS DE OPERACION,LONGITUD,LATITUD
395,BCSMP000175,BAJA CALIFORNIA,SMP,EN OPERACION,-117.064432,32.525502
396,BCSMP000180,BAJA CALIFORNIA,SMP,EN OPERACION,-116.911291,32.454621
397,BCSMP000192,BAJA CALIFORNIA,SMP,EN OPERACION,-116.909471,32.511451
398,BCSMP000204,BAJA CALIFORNIA,SMP,EN OPERACION,-116.9312759,32.4740075
399,BCSMP000216,BAJA CALIFORNIA,SMP,EN OPERACION,-116.874121,32.468029
400,BCSMP000221,BAJA CALIFORNIA,SMP,EN OPERACION,-116.8962719,32.52491455
401,BCSMP000233,BAJA CALIFORNIA,SMP,EN OPERACION,-116.875462,32.485291
402,BCSMP000245,BAJA CALIFORNIA,SMP,EN OPERACION,-116.9854193,32.505035
403,BCSMP000250,BAJA CALIFORNIA,SMP,EN OPERACION,-117.047648,32.534589
404,BCSMP000262,BAJA CALIFORNIA,SMP,EN OPERACION,-116.990297,32.509704
405,BCSMP000274,BAJA CALIFORNIA,SMP,EN OPERACION,-117.039174,32.533954
406,BCSMP000286,BAJA CALIFORNIA,SMP,EN OPERACION,-117.007392,32.518553
407,BCSMP000291,BAJA CALIFORNIA,SMP,EN OPERACION,-116.889508,32.505824
408,BCSMP000303,BAJA CALIFORNIA,SMP,EN OPERACION,-116.985891,32.519817
409,BCSMP000315,BAJA CALIFORNIA,SMP,EN OPERACION,-117.119156,32.531923
410,BCSMP000320,BAJA CALIFORNIA,SMP,EN OPERACION,-116.993624,32.531101
411,BCSMP000332,BAJA CALIFORNIA,SMP,EN OPERACION,-116.6164076,31.8630506
412,BCSMP000344,BAJA CALIFORNIA,SMP,EN OPERACION,-116.613977,31.851608
413,BCSMP000356,BAJA CALIFORNIA,SMP,EN OPERACION,-116.611835,31.861061
414,BCSMP000361,BAJA CALIFORNIA,SMP,EN OPERACION,-116.622578,31.870831
415,BCSMP000373,BAJA CALIFORNIA,SMP,EN OPERACION,-116.623749,31.854549
416,BCSMP000385,BAJA CALIFORNIA,SMP,EN OPERACION,-116.594444,31.811387
417,BCSMP000390,BAJA CALIFORNIA,SMP,EN OPERACION,-116.999478,32.498404
418,BCSMP000402,BAJA CALIFORNIA,SMP,EN OPERACION,-117.025719,32.528901
